Unnamed: 0,rank_date,title,rank,author,full_price,selling_price,category,publisher,available?
2,2021-09-27,หงส์น้อยไม่ใช่เซียน,3.0,สู่เค่อ (Shu Ke),365.0,310.25,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
3,2021-09-27,ATOMIC HABITS เพราะชีวิตดีได้กว่าที่เป็น,5.0,James Clear,285.0,242.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,ซีเอ็ดยูเคชั่น,Add to Cart
4,2021-09-27,โลกเป็นของคนที่เห็นอนาคตก่อนใคร,6.0,George Ilian,345.0,293.25,Books/จิตวิทยา การพัฒนาตัวเอง/การพัฒนาตัวเอง how to,อมรินทร์ How to,Add to Cart
5,2021-09-27,อัลลีเจนท์ แผนลับดับโลก + Box Set,7.0,เวอโรนิก้า รอธ,315.0,252.0,Books/นิยาย/นิยายแฟนตาซี,Spell,Add to Cart
6,2021-09-27,ถ้าเป็นเธอจะต้องผ่านมันไปได้แน่นอน,9.0,คิมจีฮุน (Ji Hun Kim),395.0,335.75,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
7,2021-09-27,หนังสือเล่มหนึ่งซึ่งไม่มีวางขาย,10.0,ยาสึชิ คิตากาวะ (Yasushi Kitakawa),225.0,191.25,Books/วรรณกรรม/เรื่องสั้น,Piccolo,Add to Cart
8,2021-09-27,งานเลี้ยงแห่งวสันตกาล เล่ม 1-2 (4 เล่มจบ),11.0,ไป๋ลู่เฉิงซวง,780.0,624.0,Books/นิยายแปล/นิยายจีนแปล,อรุณ,Add to Cart
9,2021-09-27,บรรลุธรรมได้ ไม่ติดรูปแบบ,13.0,ณัฐพบธรรม,149.0,75.0,Books/ธรรมะ ศาสนา และปรัชญา/ธรรมะ ศาสนา และปรัชญา,อมรินทร์ธรรมะ,Add to Cart
10,2021-09-27,ปลิวลมลวง,14.0,ปิยะพร ศักดิ์เกษม,395.0,335.75,Books/นิยาย/นิยายโรแมนติก,อรุณ,Add to Cart
11,2021-09-27,STRENGTHSFINDER เจาะจุดแข็ง 2.0,15.0,Tom Rath,450.0,382.5,Books/บริหาร ธุรกิจ/การบริหารธุรกิจ,เนชั่นบุ๊คส์,Add to Cart
12,2021-09-27,นี่เราใช้ชีวิตยากเกินไปหรือเปล่านะ,17.0,ฮาวัน (Ha Wan),295.0,250.75,Books/วรรณกรรม/เรื่องสั้น,Springbooks,Add to Cart
13,2021-09-27,ปรมาจารย์ลัทธิมาร ตอนพิเศษ,18.0,โม่เซียงถงซีว,220.0,187.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,เบเกอรี่บุ๊ค (Bakery,Out of Stock
14,2021-09-27,ต่างภาษารัก,19.0,จันทร์ ศรีจรูญ แอนเดอร์สัน,465.0,233.0,Books/นิยาย/นิยายโรแมนติก,อรุณ,Add to Cart
15,2021-09-27,ฉันคือแมว (ปกแข็ง),21.0,การ์เลีย เบิร์นสไตน์ (Galia Bernstein),245.0,208.25,Books/หนังสือเด็ก/หนังสือภาพ นิทาน,Amarin Kids,Add to Cart
16,2021-09-27,รักครั้งนี้ผมไม่พลาด ,22.0,ยอนิม,340.0,289.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,NanaNaRiS,Add to Cart
17,2021-09-27,สวย ลวง สังหาร RED SPARROW,23.0,เจสัน แมทธิวส์,450.0,315.0,Books/นิยายแปล/นิยายแปล,แพรวสำนักพิมพ์,Add to Cart
18,2021-09-27,อาชญากรรม (รัก) ในม่านเมฆ เล่ม 5 (พิมพ์ครั้งที่ 2),25.0,Huai Shang,340.0,272.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
19,2021-09-27,ฟิฟตี้เชดส์ฟรีด Fifty Shades Freed,26.0,อี แอล เจมส์,455.0,319.0,Books/นิยาย/นิยายโรแมนติก,Rose,Add to Cart
20,2021-09-27,ฟิฟตี้เชดส์ออฟเกรย์ Fifty Shades of Grey,27.0,อี แอล เจมส์,395.0,277.0,Books/นิยาย/นิยายโรแมนติก,Rose,Add to Cart
21,2021-09-27,ตัวร้ายอย่างข้า...จะหนีเอาตัวรอดยังไงดี เล่ม 2,29.0,โม่เซียงถงซีว,419.0,335.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
22,2021-09-27,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 3,30.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),395.0,335.75,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
23,2021-09-27,ปรมาจารย์ลัทธิมาร เล่ม 2,31.0,โม่เซียงถงซีว,370.0,296.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,เบเกอรี่บุ๊ค (Bakery,Add to Cart
24,2021-09-27,ฮัสกี้หน้าโง่กับอาจารย์เหมียวขาวของเขา เล่ม 4,33.0,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),360.0,306.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,Rose,Add to Cart
25,2021-09-27,อาชญากรรม (รัก) ในม่านเมฆ เล่ม 3 (พิมพ์ครั้งที่ 2),34.0,Huai Shang,360.0,288.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
26,2021-09-27,อาชญากรรม (รัก) ในม่านเมฆ เล่ม 2 (พิมพ์ครั้งที่ 2),35.0,Huai Shang,360.0,288.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,SENSE BOOK (เซ้นส์),Add to Cart
27,2021-09-27,ปรมาจารย์ลัทธิมาร เล่ม 3,37.0,โม่เซียงถงซีว,360.0,288.0,Books/หนังสือวาย ยูริ/นิยายวาย นิยายยูริ,เบเกอรี่บุ๊ค (Bakery,Add to Cart
